Employer,Title,Salary,Location,Start Date
NETFLIX INC,SR. DATA SCIENTIST - STREAMING EXPERIMENTATION,"340,000","LOS GATOS, CA",5/11/2015
NETFLIX INC,SR. DATA SCIENTIST - MARKETING EXPERIMENTATION,"320,000","LOS GATOS, CA",4/13/2015
LARSON LIVING LABS LLC,DATA SCIENTIST,"312,000","CAMBRIDGE, MA",3/28/2018
LARSON LIVING LABS LLC,DATA SCIENTIST,"312,000","CAMBRIDGE, MA",6/1/2018
JDCOM AMERICAN TECHNOLOGIES CORPORATION,MACHINE LEARINING SENIOR STAFF SCIENTIST,"267,000","MOUNTAIN VIEW, CA",8/20/2018
TERADATA OPERATIONS INC,DATA SCIENCE PRACTICE DIRECTOR,"260,000","SAMMAMISH, WA",11/10/2017
AIRBNB INC,DATA SCIENTIST,"253,630","SAN FRANCISCO, CA",10/13/2017
NEUBERGER BERMAN GROUP LLC,DATA SCIENTIST,"250,000","NEW YORK, NY",1/2/2018
JDCOM AMERICAN TECHNOLOGIES CORPORATION,DATA SCIENTIST,"250,000","SANTA CLARA, CA",10/17/2016
C3 INC,PRINCIPAL DATA SCIENTIST,"250,000","REDWOOD CITY, CA",9/12/2017
NETFLIX INC,DATA SCIENCE ENGINEER - GLOBAL PAYMENTS ANALYTICS,"245,000","LOS GATOS, CA",10/12/2015
AETNA RESOURCES LLC,PRINCIPAL DATA SCIENTIST,"240,000","SUNNYVALE, CA",2/13/2018
STITCH FIX INC,DATA SCIENTIST,"234,000","SAN FRANCISCO, CA",10/15/2018
STITCH FIX INC,DATA SCIENTIST,"234,000","SAN FRANCISCO, CA",10/15/2018
NETFLIX INC,SENIOR DATA SCIENTIST - STREAMING SCIENCE AND ALGORITHMS,"230,000","LOS GATOS, CA",7/10/2015
LEANPLUM INC,MACHINE LEARNING ENGINEER - LEAD,"230,000","SAN FRANCISCO, CA",9/12/2018
LEANPLUM INC,MACHINE LEARNING ENGINEER - LEAD,"230,000","SAN FRANCISCO, CA",3/9/2018
LYFT INC,DATA SCIENCE MANAGER,"225,000","SAN FRANCISCO, CA",12/7/2018
